UF,Município,ICM_Classification
RS,Barra do Quaraí,A
RS,Brochier,A
RS,Capão da Canoa,A
RS,Carlos Barbosa,A
RS,Relvado,A
RS,São José do Norte,A
RS,São Valentim,A
RS,São Valentim do Sul,A
RS,Selbach,A
RS,Tiradentes do Sul,A
RS,Três Cachoeiras,A
MS,Bandeirantes,A
MS,Guia Lopes da Laguna,A
MT,Juína,A
GO,Bonfinópolis,A
GO,Silvânia,A
RO,Ouro Preto do Oeste,A
AM,São Sebastião do Uatumã,A
PA,Mãe do Rio,A
CE,Paracuru,A
PB,Conde,A
PB,Guarabira,A
PB,Queimadas,A
PE,Carpina,A
PE,Condado,A
PE,Paranatama,A
PE,Sairé,A
PE,Solidão,A
PE,Terra Nova,A
PE,Tupanatinga,A
AL,Coité do Nóia,A
AL,Pão de Açúcar,A
SE,Cristinápolis,A
SE,Indiaroba,A
SE,Itabaianinha,A
SE,Itaporanga dAjuda,A
SE,Riachuelo,A
BA,Amélia Rodrigues,A
BA,Cruz das Almas,A
BA,Irará,A
MG,Alto Rio Doce,A
MG,Bela Vista de Minas,A
MG,Brasilândia de Minas,A
MG,Guaxupé,A
MG,Itatiaiuçu,A
MG,Lagoa Santa,A
MG,Monte Santo de Minas,A
MG,São Gotardo,A
RJ,Arraial do Cabo,A
RJ,Iguaba Grande,A
SP,Angatuba,A
SP,Cabrália Paulista,A
SP,Capão Bonito,A
SP,Catiguá,A
SP,Itapira,A
SP,Macatuba,A
SP,Osvaldo Cruz,A
SP,Presidente Epitácio,A
PR,Amaporã,A
PR,Carlópolis,A
PR,Catanduvas,A
PR,Fênix,A
PR,Marechal Cândido Rondon,A
PR,Palmas,A
PR,Paulo Frontin,A
PR,Roncador,A
PR,São Manoel do Paraná,A
PR,Terra Boa,A
PR,Três Barras do Paraná,A
PR,Wenceslau Braz,A
SC,Água Doce,A
SC,Arvoredo,A
SC,Catanduvas,A
SC,Iraceminha,A
RS,Ajuricaba,A
RS,Arambaré,A
RS,Balneário Pinhal,A
RS,Cerro Grande,A
RS,Cruzaltense,A
RS,Dilermando de Aguiar,A
RS,Entre Rios do Sul,A
RS,Getúlio Vargas,A
RS,Guaíba,A
RS,Mato Queimado,A
RS,Minas do Leão,A
RS,Nova Prata,A
RS,Novo Tiradentes,A
RS,Santa Clara do Sul,A
RS,Terra de Areia,A
RS,Vacaria,A
MT,Diamantino,A
MT,Sapezal,A
GO,Ceres,A
GO,Santa Isabel,A
AM,Santa Isabel do Rio Negro,A
RR,Normandia,A
PA,Maracanã,A
TO,Colinas do Tocantins,A
TO,Paraíso do Tocantins,A
CE,Choró,A
CE,Itapiúna,A
CE,Tianguá,A
RN,São Pedro,A
PE,Salgadinho,A
AL,Chã Preta,A
AL,Ibateguara,A
SE,Japoatã,A
SE,Neópolis,A
BA,Antônio Cardoso,A
BA,Guajeru,A
BA,Ourolândia,A
BA,São Francisco do Conde,A
BA,São Gabriel,A
MG,Andradas,A
MG,Baependi,A
MG,Bocaiúva,A
MG,Caranaíba,A
MG,Coqueiral,A
MG,Cristiano Otoni,A
MG,Crucilândia,A
MG,Curral de Dentro,A
MG,Dores de Campos,A
MG,Mercês,A
MG,Patrocínio,A
MG,Peçanha,A
MG,Recreio,A
MG,Sacramento,A
MG,Santa Cruz de Minas,A
MG,São Gonçalo do Sapucaí,A
MG,São João da Mata,A
MG,São Lourenço,A
MG,São Sebastião do Paraíso,A
MG,São Sebastião do Rio Verde,A
RJ,São Sebastião do Alto,A
SP,Casa Branca,A
SP,Charqueada,A
SP,Conchas,A
SP,Flora Rica,A
SP,Gavião Peixoto,A
SP,Guatapará,A
SP,Indiana,A
SP,Jales,A
SP,José Bonifácio,A
SP,Juquitiba,A
SP,Laranjal Paulista,A
SP,Paulistânia,A
SP,Sabino,A
SP,Santa Cruz do Rio Pardo,A
SP,São Miguel Arcanjo,A
PR,Bom Jesus do Sul,A
PR,Campo do Tenente,A
PR,Contenda,A
PR,Fernandes Pinheiro,A
PR,Guaporema,A
PR,Ivaiporã,A
PR,Jardim Alegre,A
PR,Jardim Olinda,A
PR,Mato Rico,A
PR,Nova Esperança,A
PR,Rio Azul,A
PR,Santa Izabel do Oeste,A
PR,Santa Tereza do Oeste,A
SC,Capivari de Baixo,A
SC,Iporã do Oeste,A
SC,Macieira,A
SC,Peritiba,A
SC,Pinhalzinho,A
SC,Presidente Castello Branco,A
SC,Urupema,A
RS,Arroio do Sal,A
RS,Campinas do Sul,A
RS,Capivari do Sul,A
RS,Carazinho,A
RS,Encruzilhada do Sul,A
RS,Imbé,A
RS,Júlio de Castilhos,A
